Ticker,Setor,Empresa,RazaoSocial
RSUL4,Material de Transporte,RIOSULENSE,METALURGICA RIOSULENSE S.A.
RVEE3,Viagens e Lazer,REVEE,REVEE S.A.
SANB11,Intermediários Financeiros,SANTANDER BR,BCO SANTANDER (BRASIL) S.A.
SANB3,Intermediários Financeiros,SANTANDER BR,BCO SANTANDER (BRASIL) S.A.
SANB4,Intermediários Financeiros,SANTANDER BR,BCO SANTANDER (BRASIL) S.A.
SAPR11,Água e Saneamento,SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR
SAPR3,Água e Saneamento,SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR
SAPR4,Água e Saneamento,SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR
SAUD3,Serv.Méd.Hospit. Análises e Diagnósticos,BRADSAUDE,BRADSAUDE S.A.
SBFG3,Comércio,GRUPO SBF,GRUPO SBF SA
SBSP3,Água e Saneamento,SABESP,CIA SANEAMENTO BASICO EST SAO PAULO
SCAR3,Exploração de Imóveis,SAO CARLOS,SAO CARLOS EMPREEND E PARTICIPACOES S.A.
SEER3,Diversos,SER EDUCA,SER EDUCACIONAL S.A.
SEQL3,Serviços Diversos,SEQUOIA LOG,SEQUOIA LOGISTICA E TRANSPORTES S.A
SHOW3,Viagens e Lazer,Time For Fun,T4F Entretenimento S.A.
SHUL4,Máquinas e Equipamentos,SCHULZ,SCHULZ S.A.
SIMH3,Holdings Diversificadas,SIMPAR,SIMPAR S.A.
SLCE3,Agropecuária,SLC AGRICOLA,SLC AGRICOLA S.A.
SMFT3,Viagens e Lazer,SMART FIT,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
SMTO3,Alimentos Processados,SAO MARTINHO,SAO MARTINHO S.A.
SNSY5,Materiais Diversos,SANSUY,SANSUY S.A. INDUSTRIA DE PLASTICOS
SOJA3,Agropecuária,BOA SAFRA,BOA SAFRA SEMENTES S.A.
SOND6,Construção e Engenharia,SONDOTECNICA,SONDOTECNICA ENGENHARIA SOLOS S.A.
SUZB3,Madeira e Papel,SUZANO S.A.,SUZANO S.A.
SYNE3,Exploração de Imóveis,SYN PROP TEC,SYN PROP E TECH S.A.
TAEE11,Energia Elétrica,TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAEE3,Energia Elétrica,TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAEE4,Energia Elétrica,TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TASA3,Máquinas e Equipamentos,TAURUS ARMAS,TAURUS ARMAS S.A.
TASA4,Máquinas e Equipamentos,TAURUS ARMAS,TAURUS ARMAS S.A.
TCSA3,Construção Civil,TECNISA,TECNISA S.A.
TECN3,"Tecidos, Vestuário e Calçados",TECHNOS,TECHNOS S.A.
TELB3,Telecomunicações,TELEBRAS,TELEC BRASILEIRAS S.A. TELEBRAS
TELB4,Telecomunicações,TELEBRAS,TELEC BRASILEIRAS S.A. TELEBRAS
TEND3,Construção Civil,TENDA,CONSTRUTORA TENDA S.A.
TFCO4,"Tecidos, Vestuário e Calçados",TRACK FIELD,TRACK & FIELD CO S.A.
TGMA3,Transporte,TEGMA,TEGMA GESTAO LOGISTICA S.A.
TIMS3,Telecomunicações,TIM,TIM S.A.
TOKY3,Programas e Serviços,GRUPO TOKY,GRUPO TOKY S.A.
TOTS3,Programas e Serviços,TOTVS,TOTVS S.A.
TPIS3,Transporte,TRIUNFO PART,TPI - TRIUNFO PARTICIP. E INVEST. S.A.
TRAD3,Programas e Serviços,Economatica,
TRIS3,Construção Civil,TRISUL,TRISUL S.A.
TTEN3,Agropecuária,3TENTOS,TRÊS TENTOS AGROINDUSTRIAL S/A
TUPY3,Material de Transporte,TUPY,TUPY S.A.
UCAS3,Utilidades Domésticas,UNICASA,UNICASA INDÚSTRIA DE MÓVEIS S.A.
UGPA3,"Petróleo, Gás e Biocombustíveis",ULTRAPAR,ULTRAPAR PARTICIPACOES S.A.
UNIP3,Químicos,UNIPAR,UNIPAR CARBOCLORO S.A.
UNIP5,Químicos,UNIPAR,UNIPAR CARBOCLORO S.A.
UNIP6,Químicos,UNIPAR,UNIPAR CARBOCLORO S.A.
USIM3,Siderurgia e Metalurgia,USIMINAS,USINAS SID DE MINAS GERAIS S.A.-USIMINAS
USIM5,Siderurgia e Metalurgia,USIMINAS,USINAS SID DE MINAS GERAIS S.A.-USIMINAS
VALE3,Mineração,VALE,VALE S.A.
VAMO3,Diversos,VAMOS,"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIP. S.A."
VBBR3,"Petróleo, Gás e Biocombustíveis",VIBRA,VIBRA ENERGIA S.A.
